pitch_type;game_date;release_speed;player_name;events;description;zone;p_throws;home_team;away_team
FF;30/09/2017;95.7;Aaron Judge;strikeout;swinging_strike;14;R;NYY;TOR
FF;30/09/2017;96.3;Aaron Judge;null;called_strike;9;R;NYY;TOR
FF;30/09/2017;95.2;Aaron Judge;null;called_strike;2;R;NYY;TOR
FT;30/09/2017;93.4;Aaron Judge;walk;ball;14;L;NYY;TOR
FT;30/09/2017;92.8;Aaron Judge;null;called_strike;14;L;NYY;TOR
CH;30/09/2017;80.8;Aaron Judge;null;ball;14;L;NYY;TOR
FC;30/09/2017;85.1;Aaron Judge;null;ball;14;L;NYY;TOR
FT;30/09/2017;93.3;Aaron Judge;null;ball;14;L;NYY;TOR
FT;30/09/2017;93.1;Aaron Judge;home_run;hit_into_play_score;4;R;NYY;TOR
FT;30/09/2017;93.4;Aaron Judge;null;ball;14;R;NYY;TOR
FT;30/09/2017;92.7;Aaron Judge;null;ball;14;R;NYY;TOR
SL;30/09/2017;87.7;Aaron Judge;strikeout;swinging_strike;9;R;NYY;TOR
FT;30/09/2017;93.1;Aaron Judge;null;foul;5;R;NYY;TOR
FF;30/09/2017;92.5;Aaron Judge;null;called_strike;7;R;NYY;TOR
FT;30/09/2017;93.1;Aaron Judge;null;blocked_ball;13;R;NYY;TOR
SL;29/09/2017;87.7;Aaron Judge;strikeout;swinging_strike;13;L;NYY;TOR
SL;29/09/2017;86.8;Aaron Judge;null;swinging_strike;13;L;NYY;TOR
FF;29/09/2017;96.5;Aaron Judge;null;ball;14;L;NYY;TOR
SL;29/09/2017;84.1;Aaron Judge;null;ball;13;L;NYY;TOR
SL;29/09/2017;86.2;Aaron Judge;null;swinging_strike;13;L;NYY;TOR
FC;29/09/2017;90.3;Aaron Judge;single;hit_into_play_score;5;R;NYY;TOR
CH;29/09/2017;85.3;Aaron Judge;null;ball;14;R;NYY;TOR
CU;29/09/2017;78.1;Aaron Judge;null;called_strike;4;R;NYY;TOR
CH;29/09/2017;85.4;Aaron Judge;null;ball;14;R;NYY;TOR
FF;29/09/2017;93.5;Aaron Judge;field_out;hit_into_play;8;R;NYY;TOR
FF;29/09/2017;93.9;Aaron Judge;null;called_strike;8;R;NYY;TOR
FF;29/09/2017;93.6;Aaron Judge;null;ball;14;R;NYY;TOR
CH;29/09/2017;85.1;Aaron Judge;null;ball;14;R;NYY;TOR
FF;29/09/2017;93.7;Aaron Judge;null;ball;14;R;NYY;TOR
FF;29/09/2017;93.6;Aaron Judge;null;called_strike;14;R;NYY;TOR
FC;29/09/2017;91.1;Aaron Judge;walk;ball;14;R;NYY;TOR
FF;29/09/2017;94.7;Aaron Judge;null;ball;14;R;NYY;TOR
FC;29/09/2017;89.8;Aaron Judge;null;swinging_strike;14;R;NYY;TOR
CH;29/09/2017;85.4;Aaron Judge;null;ball;1;R;NYY;TOR
FF;29/09/2017;94.6;Aaron Judge;null;blocked_ball;14;R;NYY;TOR
CU;28/09/2017;81.2;Aaron Judge;field_out;hit_into_play;5;R;NYY;TB
CU;28/09/2017;84.1;Aaron Judge;null;ball;14;R;NYY;TB
FF;28/09/2017;87.1;Aaron Judge;walk;ball;14;R;NYY;TB
SL;28/09/2017;77.0;Aaron Judge;null;ball;13;R;NYY;TB
SL;28/09/2017;78.1;Aaron Judge;null;ball;14;R;NYY;TB
SL;28/09/2017;75.9;Aaron Judge;null;foul;6;R;NYY;TB
SL;28/09/2017;76.4;Aaron Judge;null;ball;14;R;NYY;TB
SL;28/09/2017;76.4;Aaron Judge;null;called_strike;6;R;NYY;TB
FF;28/09/2017;94.8;Aaron Judge;strikeout;called_strike;9;R;NYY;TB
CU;28/09/2017;84.9;Aaron Judge;null;blocked_ball;14;R;NYY;TB
FF;28/09/2017;94.6;Aaron Judge;null;called_strike;9;R;NYY;TB
CU;28/09/2017;84.8;Aaron Judge;null;called_strike;8;R;NYY;TB
SL;28/09/2017;83.8;Aaron Judge;field_out;hit_into_play;5;R;NYY;TB
SL;28/09/2017;83.8;Aaron Judge;null;called_strike;3;R;NYY;TB
SL;28/09/2017;84.0;Aaron Judge;null;swinging_strike;6;R;NYY;TB
FF;28/09/2017;91.4;Aaron Judge;home_run;hit_into_play_score;5;R;NYY;TB
SL;28/09/2017;83.2;Aaron Judge;null;foul;5;R;NYY;TB
FF;28/09/2017;91.2;Aaron Judge;null;ball;12;R;NYY;TB
SL;28/09/2017;82.5;Aaron Judge;null;called_strike;9;R;NYY;TB
SL;28/09/2017;83.4;Aaron Judge;null;ball;14;R;NYY;TB
FF;27/09/2017;99.3;Aaron Judge;walk;ball;1;L;NYY;TB
FF;27/09/2017;98.9;Aaron Judge;null;blocked_ball;14;L;NYY;TB
CU;27/09/2017;87.8;Aaron Judge;null;blocked_ball;13;L;NYY;TB
FF;27/09/2017;100.6;Aaron Judge;null;ball;14;L;NYY;TB
FF;27/09/2017;99.7;Aaron Judge;null;called_strike;13;L;NYY;TB
CU;27/09/2017;81.4;Aaron Judge;double;hit_into_play_score;8;R;NYY;TB
CH;27/09/2017;86.5;Aaron Judge;null;foul;7;R;NYY;TB
CU;27/09/2017;81.9;Aaron Judge;null;blocked_ball;14;R;NYY;TB
CU;27/09/2017;83.0;Aaron Judge;null;swinging_strike;14;R;NYY;TB
CH;27/09/2017;85.5;Aaron Judge;null;swinging_strike;14;R;NYY;TB
SL;27/09/2017;85.9;Aaron Judge;null;ball;13;R;NYY;TB
CU;27/09/2017;81.7;Aaron Judge;null;ball;14;R;NYY;TB
CU;27/09/2017;81.0;Aaron Judge;walk;ball;14;R;NYY;TB
SL;27/09/2017;87.2;Aaron Judge;null;ball;11;R;NYY;TB
CH;27/09/2017;86.5;Aaron Judge;null;ball;1;R;NYY;TB
CU;27/09/2017;81.1;Aaron Judge;null;swinging_strike;9;R;NYY;TB
CU;27/09/2017;82.5;Aaron Judge;null;ball;14;R;NYY;TB
CH;27/09/2017;87.3;Aaron Judge;field_out;hit_into_play;5;R;NYY;TB
FF;27/09/2017;92.5;Aaron Judge;null;foul;5;R;NYY;TB
FF;26/09/2017;91.6;Aaron Judge;walk;ball;14;R;NYY;TB
SL;26/09/2017;87.2;Aaron Judge;null;ball;14;R;NYY;TB
SL;26/09/2017;87.2;Aaron Judge;null;ball;14;R;NYY;TB
SL;26/09/2017;87.9;Aaron Judge;null;foul;5;R;NYY;TB
SL;26/09/2017;88.1;Aaron Judge;null;ball;14;R;NYY;TB
SL;26/09/2017;75.8;Aaron Judge;field_out;hit_into_play;11;R;NYY;TB
SL;26/09/2017;76.5;Aaron Judge;null;ball;14;R;NYY;TB
SL;26/09/2017;78.1;Aaron Judge;null;called_strike;14;R;NYY;TB
FF;26/09/2017;95.4;Aaron Judge;double;hit_into_play_no_out;8;R;NYY;TB
FF;26/09/2017;95.1;Aaron Judge;null;ball;14;R;NYY;TB
SL;26/09/2017;85.3;Aaron Judge;null;foul;8;R;NYY;TB
FF;26/09/2017;96.2;Aaron Judge;null;called_strike;7;R;NYY;TB
SL;26/09/2017;84.8;Aaron Judge;null;called_strike;4;R;NYY;TB
SL;26/09/2017;86.6;Aaron Judge;null;blocked_ball;14;R;NYY;TB
FF;26/09/2017;96.2;Aaron Judge;walk;ball;3;L;NYY;TB
CH;26/09/2017;90.7;Aaron Judge;null;ball;13;L;NYY;TB
FF;26/09/2017;94.2;Aaron Judge;null;ball;12;L;NYY;TB
FF;26/09/2017;95.7;Aaron Judge;null;ball;12;L;NYY;TB
SL;26/09/2017;81.9;Aaron Judge;strikeout;swinging_strike_blocked;14;L;NYY;TB
CH;26/09/2017;89.5;Aaron Judge;null;ball;14;L;NYY;TB
FF;26/09/2017;89.1;Aaron Judge;null;swinging_strike_blocked;13;L;NYY;TB
CH;26/09/2017;90.7;Aaron Judge;null;swinging_strike;14;L;NYY;TB
FF;25/09/2017;92.1;Aaron Judge;walk;ball;14;R;NYY;KC
FF;25/09/2017;91.0;Aaron Judge;null;ball;11;R;NYY;KC
FT;25/09/2017;90.9;Aaron Judge;null;foul;8;R;NYY;KC
FF;25/09/2017;91.0;Aaron Judge;null;ball;14;R;NYY;KC
FF;25/09/2017;90.0;Aaron Judge;null;ball;3;R;NYY;KC
CH;25/09/2017;84.3;Aaron Judge;home_run;hit_into_play_score;7;R;NYY;KC
SI;25/09/2017;92.5;Aaron Judge;null;ball;11;R;NYY;KC
KC;25/09/2017;77.3;Aaron Judge;null;swinging_strike;8;R;NYY;KC
KC;25/09/2017;75.7;Aaron Judge;null;ball;14;R;NYY;KC
SL;25/09/2017;84.1;Aaron Judge;strikeout;called_strike;5;R;NYY;KC
SL;25/09/2017;84.2;Aaron Judge;null;blocked_ball;14;R;NYY;KC
SL;25/09/2017;82.9;Aaron Judge;null;swinging_strike;9;R;NYY;KC
FF;25/09/2017;92.7;Aaron Judge;null;called_strike;6;R;NYY;KC
FF;25/09/2017;93.0;Aaron Judge;home_run;hit_into_play_score;2;R;NYY;KC
SI;25/09/2017;92.6;Aaron Judge;null;called_strike;9;R;NYY;KC
FF;25/09/2017;93.6;Aaron Judge;null;ball;14;R;NYY;KC
SL;25/09/2017;80.9;Aaron Judge;null;called_strike;9;R;NYY;KC
FF;25/09/2017;91.6;Aaron Judge;null;ball;11;R;NYY;KC
SI;25/09/2017;92.7;Aaron Judge;null;ball;12;R;NYY;KC
FF;25/09/2017;92.0;Aaron Judge;field_out;hit_into_play;3;R;NYY;KC
FF;25/09/2017;91.6;Aaron Judge;null;ball;11;R;NYY;KC
SL;25/09/2017;80.2;Aaron Judge;null;blocked_ball;14;R;NYY;KC
FT;24/09/2017;96.2;Aaron Judge;strikeout;called_strike;6;R;TOR;NYY
SL;24/09/2017;85.6;Aaron Judge;null;ball;14;R;TOR;NYY
FC;24/09/2017;91.5;Aaron Judge;null;ball;14;R;TOR;NYY
FF;24/09/2017;95.1;Aaron Judge;null;swinging_strike;6;R;TOR;NYY
FF;24/09/2017;95.2;Aaron Judge;null;called_strike;6;R;TOR;NYY
SI;24/09/2017;96.5;Aaron Judge;home_run;hit_into_play_score;11;R;TOR;NYY
FT;24/09/2017;93.0;Aaron Judge;home_run;hit_into_play_score;8;R;TOR;NYY
FC;24/09/2017;88.5;Aaron Judge;null;ball;14;R;TOR;NYY
FT;24/09/2017;92.9;Aaron Judge;null;foul;5;R;TOR;NYY
FT;24/09/2017;91.9;Aaron Judge;null;swinging_strike;14;R;TOR;NYY
FT;24/09/2017;92.8;Aaron Judge;null;ball;13;R;TOR;NYY
SL;24/09/2017;86.5;Aaron Judge;null;ball;14;R;TOR;NYY
FT;24/09/2017;92.2;Aaron Judge;walk;ball;14;R;TOR;NYY
SL;24/09/2017;85.4;Aaron Judge;null;ball;14;R;TOR;NYY
FT;24/09/2017;92.8;Aaron Judge;null;blocked_ball;14;R;TOR;NYY
FF;24/09/2017;92.9;Aaron Judge;null;called_strike;14;R;TOR;NYY
FT;24/09/2017;92.4;Aaron Judge;null;ball;14;R;TOR;NYY
FF;24/09/2017;93.5;Aaron Judge;null;called_strike;5;R;TOR;NYY
SL;24/09/2017;86.8;Aaron Judge;field_out;hit_into_play;6;R;TOR;NYY
SL;24/09/2017;86.7;Aaron Judge;null;ball;14;R;TOR;NYY
FF;24/09/2017;93.3;Aaron Judge;null;called_strike;14;R;TOR;NYY
SL;24/09/2017;88.2;Aaron Judge;null;ball;14;R;TOR;NYY
FT;24/09/2017;93.5;Aaron Judge;null;foul;4;R;TOR;NYY
CU;23/09/2017;84.1;Aaron Judge;field_out;hit_into_play;8;R;TOR;NYY
FF;23/09/2017;92.6;Aaron Judge;null;ball;14;R;TOR;NYY
CH;23/09/2017;86.1;Aaron Judge;null;foul;11;R;TOR;NYY
CU;23/09/2017;81.4;Aaron Judge;null;ball;14;R;TOR;NYY
CU;23/09/2017;80.1;Aaron Judge;null;called_strike;5;R;TOR;NYY
CH;23/09/2017;81.2;Aaron Judge;strikeout;swinging_strike;14;R;TOR;NYY
FF;23/09/2017;93.6;Aaron Judge;null;foul;14;R;TOR;NYY
FF;23/09/2017;92.7;Aaron Judge;null;called_strike;9;R;TOR;NYY
SL;23/09/2017;84.6;Aaron Judge;null;ball;14;R;TOR;NYY
FF;23/09/2017;92.0;Aaron Judge;null;called_strike;9;R;TOR;NYY
FF;23/09/2017;93.7;Aaron Judge;double;hit_into_play_no_out;5;R;TOR;NYY
FF;23/09/2017;93.7;Aaron Judge;null;ball;13;R;TOR;NYY
FF;23/09/2017;94.3;Aaron Judge;null;called_strike;9;R;TOR;NYY
CU;23/09/2017;79.6;Aaron Judge;null;ball;14;R;TOR;NYY
FF;23/09/2017;94.7;Aaron Judge;strikeout;foul_tip;13;R;TOR;NYY
FF;23/09/2017;94.5;Aaron Judge;null;foul;11;R;TOR;NYY
FF;23/09/2017;93.8;Aaron Judge;null;foul;4;R;TOR;NYY
FT;22/09/2017;93.6;Aaron Judge;walk;ball;14;R;TOR;NYY
FF;22/09/2017;94.3;Aaron Judge;null;ball;1;R;TOR;NYY
